Song,Date,Number of Plays
first,2022-09-23,262
last,2022-09-20,1834
forth,2022-09-22,451
third,2022-09-23,1068
third,2022-09-22,1616
last,2022-09-22,1337
last,2022-09-25,1881
third,2022-09-25,1751
last,2022-09-26,1781
first,2022-09-23,1842
second,2022-09-20,728
forth,2022-09-22,377
third,2022-09-22,1385
last,2022-09-22,1275
last,2022-09-25,1674
second,2022-09-27,1075
second,2022-09-20,1003
last,2022-09-23,831
first,2022-09-24,702
third,2022-09-27,1026
last,2022-09-19,51
first,2022-09-25,989
first,2022-09-22,1896
forth,2022-09-18,374
last,2022-09-20,862
third,2022-09-25,1163
third,2022-09-20,42
last,2022-09-18,1615
first,2022-09-18,1428
first,2022-09-26,273
last,2022-09-27,1858
second,2022-09-19,3
forth,2022-09-21,144
forth,2022-09-18,1131
second,2022-09-27,1157
last,2022-09-19,1127
forth,2022-09-23,1141
first,2022-09-26,8
third,2022-09-20,170
forth,2022-09-23,478
forth,2022-09-19,591
first,2022-09-18,483
forth,2022-09-22,1051
last,2022-09-26,1795
forth,2022-09-21,691
first,2022-09-22,369
second,2022-09-19,163
forth,2022-09-24,1619
third,2022-09-27,1995
second,2022-09-23,1863
second,2022-09-26,777
first,2022-09-25,1486
forth,2022-09-25,554
forth,2022-09-19,1947
third,2022-09-24,362
last,2022-09-18,360
second,2022-09-24,1124
third,2022-09-18,8
third,2022-09-24,456
first,2022-09-19,1694
third,2022-09-21,1521
third,2022-09-21,1071
first,2022-09-26,1237
first,2022-09-24,738
second,2022-09-22,1745
third,2022-09-27,1580
second,2022-09-20,215
first,2022-09-18,1279
third,2022-09-21,95
forth,2022-09-18,1394
forth,2022-09-25,806
second,2022-09-21,1606
last,2022-09-23,369
first,2022-09-21,1080
forth,2022-09-27,1789
forth,2022-09-26,1650
second,2022-09-24,1523
second,2022-09-21,1023
last,2022-09-26,1418
second,2022-09-23,30
last,2022-09-21,1811
first,2022-09-22,777
last,2022-09-23,734
forth,2022-09-26,1295
third,2022-09-26,1188
third,2022-09-27,1464
forth,2022-09-21,1731
first,2022-09-18,1470
last,2022-09-21,106
third,2022-09-27,1330
first,2022-09-27,402
first,2022-09-22,602
second,2022-09-20,1143
third,2022-09-23,101
forth,2022-09-27,732
second,2022-09-25,1845
first,2022-09-25,1577
forth,2022-09-23,1091
forth,2022-09-22,428
forth,2022-09-23,828
forth,2022-09-25,612
forth,2022-09-24,1700
third,2022-09-25,999
last,2022-09-21,1908
third,2022-09-25,854
second,2022-09-21,1346
last,2022-09-26,950
forth,2022-09-19,1385
second,2022-09-24,1144
forth,2022-09-23,585
second,2022-09-23,636
last,2022-09-21,78
first,2022-09-18,1548
first,2022-09-20,776
second,2022-09-19,433
first,2022-09-19,1516
forth,2022-09-24,484
second,2022-09-23,65
second,2022-09-25,1513
third,2022-09-19,912
last,2022-09-23,924
second,2022-09-21,306
last,2022-09-21,400
first,2022-09-21,1356
second,2022-09-26,19
second,2022-09-22,1180
third,2022-09-19,1037
second,2022-09-26,978
third,2022-09-27,790
first,2022-09-25,1581
third,2022-09-23,1834
third,2022-09-25,388
third,2022-09-20,99
third,2022-09-27,1876
third,2022-09-24,35
second,2022-09-27,1237
first,2022-09-22,583
third,2022-09-18,1754
third,2022-09-20,427
second,2022-09-23,1917
first,2022-09-27,1465
forth,2022-09-26,303
first,2022-09-26,1832
first,2022-09-21,1421
forth,2022-09-18,755
third,2022-09-20,16
second,2022-09-27,246
second,2022-09-25,473
second,2022-09-23,1210
forth,2022-09-21,1745
third,2022-09-20,545
forth,2022-09-22,840
forth,2022-09-23,1605
forth,2022-09-18,407
second,2022-09-22,32
last,2022-09-18,394
forth,2022-09-19,1909
third,2022-09-24,1011
third,2022-09-25,43
forth,2022-09-19,1544
forth,2022-09-27,1715
first,2022-09-20,1001
last,2022-09-22,971
third,2022-09-26,1323
third,2022-09-26,1426
forth,2022-09-26,988
first,2022-09-27,1342
third,2022-09-23,1029
last,2022-09-19,1064
first,2022-09-23,1849
forth,2022-09-25,362
first,2022-09-25,1121
first,2022-09-21,1205
second,2022-09-22,865
last,2022-09-27,1432
forth,2022-09-21,1638
first,2022-09-26,21
third,2022-09-25,574
second,2022-09-26,683
first,2022-09-20,1409
third,2022-09-22,1685
second,2022-09-18,1111
second,2022-09-26,1663
forth,2022-09-21,1085
last,2022-09-21,273
third,2022-09-21,859
last,2022-09-27,1974
forth,2022-09-25,1074
third,2022-09-22,1861
last,2022-09-19,1299
first,2022-09-21,1385
first,2022-09-21,774
second,2022-09-27,1923
first,2022-09-27,1535
third,2022-09-27,1314
last,2022-09-24,613
last,2022-09-27,217
second,2022-09-19,53
third,2022-09-27,1896
first,2022-09-25,754
third,2022-09-23,193
first,2022-09-19,318
forth,2022-09-21,1761
last,2022-09-27,1513
last,2022-09-20,1338
first,2022-09-21,815
third,2022-09-23,1822
second,2022-09-27,303
third,2022-09-24,424
third,2022-09-26,316
first,2022-09-24,704
forth,2022-09-19,1925
first,2022-09-18,1042
second,2022-09-23,956
second,2022-09-18,1290
third,2022-09-27,1384
first,2022-09-25,314
third,2022-09-23,183
third,2022-09-22,1073
forth,2022-09-26,879
last,2022-09-21,186
second,2022-09-25,477
last,2022-09-26,536
first,2022-09-23,577
last,2022-09-21,1297
forth,2022-09-21,1515
third,2022-09-26,513
second,2022-09-24,436
first,2022-09-20,527
last,2022-09-19,555
second,2022-09-25,716
last,2022-09-22,271
last,2022-09-21,1641
third,2022-09-25,1829
second,2022-09-23,653
second,2022-09-22,171
third,2022-09-24,1470
third,2022-09-18,578
last,2022-09-18,1416
last,2022-09-19,1182
forth,2022-09-23,803
last,2022-09-21,1438
second,2022-09-27,201
second,2022-09-18,1682
forth,2022-09-21,1088
second,2022-09-26,1511
last,2022-09-23,1561
third,2022-09-26,1708
second,2022-09-26,1741
third,2022-09-27,1571
forth,2022-09-19,1619
forth,2022-09-25,1625
third,2022-09-26,658
first,2022-09-25,1708
third,2022-09-27,1992
forth,2022-09-27,424
second,2022-09-18,1252
third,2022-09-21,1871
forth,2022-09-22,489
first,2022-09-20,886
third,2022-09-23,525
third,2022-09-26,772
second,2022-09-25,694
third,2022-09-21,357
second,2022-09-22,339
forth,2022-09-19,1030
second,2022-09-19,332
second,2022-09-23,1521
second,2022-09-19,1032
last,2022-09-22,1178
last,2022-09-24,1066
last,2022-09-25,1801
first,2022-09-24,1264
second,2022-09-21,226
first,2022-09-19,404
first,2022-09-24,1246
forth,2022-09-26,279
last,2022-09-18,1388
last,2022-09-19,134
forth,2022-09-27,1751
second,2022-09-18,840
forth,2022-09-19,492
forth,2022-09-26,1496
third,2022-09-27,806
third,2022-09-26,1191
last,2022-09-23,1677
second,2022-09-26,810
second,2022-09-18,1086
third,2022-09-21,140
second,2022-09-22,942
third,2022-09-27,1746
first,2022-09-20,1642
forth,2022-09-18,1897
third,2022-09-20,1209
last,2022-09-19,1917
last,2022-09-21,589
third,2022-09-22,1778
second,2022-09-25,872
third,2022-09-25,185
forth,2022-09-25,1617
last,2022-09-21,528
third,2022-09-22,49
last,2022-09-27,1718
first,2022-09-20,877
second,2022-09-20,271
second,2022-09-22,1663
forth,2022-09-24,28
forth,2022-09-27,1213
second,2022-09-18,289
last,2022-09-19,1834
second,2022-09-18,1970
second,2022-09-18,1919
forth,2022-09-21,622
forth,2022-09-22,839
third,2022-09-25,1858
forth,2022-09-27,226
last,2022-09-22,1228
first,2022-09-18,570
first,2022-09-19,140
forth,2022-09-25,1582
forth,2022-09-25,1778
forth,2022-09-22,683
first,2022-09-27,1644
first,2022-09-24,1683
second,2022-09-27,1264
forth,2022-09-23,195
third,2022-09-21,1241
first,2022-09-21,1871
second,2022-09-20,523
forth,2022-09-22,813
forth,2022-09-18,1917
last,2022-09-18,662
last,2022-09-18,1073
forth,2022-09-23,221
first,2022-09-19,1719
forth,2022-09-20,223
second,2022-09-21,1842
second,2022-09-22,733
first,2022-09-24,1635
third,2022-09-18,1443
third,2022-09-23,882
third,2022-09-18,596
first,2022-09-18,394
forth,2022-09-23,805
first,2022-09-23,272
second,2022-09-22,1636
forth,2022-09-23,834
first,2022-09-18,1048
last,2022-09-18,1641
second,2022-09-25,1611
first,2022-09-23,1805
second,2022-09-19,1095
third,2022-09-25,888
last,2022-09-21,123
forth,2022-09-22,1643
second,2022-09-27,958
last,2022-09-18,1854
third,2022-09-24,858
last,2022-09-23,428
first,2022-09-26,685
third,2022-09-18,1186
forth,2022-09-19,315
third,2022-09-23,1126
first,2022-09-18,855
third,2022-09-22,674
third,2022-09-26,152
first,2022-09-25,1666
second,2022-09-25,1285
last,2022-09-27,203
third,2022-09-25,1383
forth,2022-09-24,2
third,2022-09-21,627
second,2022-09-21,976
first,2022-09-26,312
second,2022-09-23,222
forth,2022-09-21,658
first,2022-09-21,656
forth,2022-09-18,1707
last,2022-09-19,810
first,2022-09-23,678
first,2022-09-24,1921
forth,2022-09-20,1494
forth,2022-09-24,1522
last,2022-09-25,1690
first,2022-09-20,979
first,2022-09-19,1064
third,2022-09-22,1419
third,2022-09-24,264
second,2022-09-21,807
first,2022-09-25,316
first,2022-09-23,1610
forth,2022-09-26,554
first,2022-09-24,558
second,2022-09-21,1781
first,2022-09-27,1300
last,2022-09-22,654
third,2022-09-22,1273
first,2022-09-21,1714
third,2022-09-25,1487
second,2022-09-26,1074
third,2022-09-27,855
forth,2022-09-24,27
third,2022-09-27,1596
last,2022-09-19,219
third,2022-09-19,1941
first,2022-09-18,56
third,2022-09-21,1603
last,2022-09-23,886
second,2022-09-23,1110
first,2022-09-21,482
forth,2022-09-20,465
second,2022-09-25,1235
second,2022-09-25,457
third,2022-09-24,1656
first,2022-09-24,121
first,2022-09-19,616
last,2022-09-18,1614
second,2022-09-22,1315
second,2022-09-20,1997
second,2022-09-20,199
forth,2022-09-23,1445
forth,2022-09-25,1164
second,2022-09-22,551
last,2022-09-24,1090
first,2022-09-21,8
forth,2022-09-22,1262
last,2022-09-22,1205
last,2022-09-25,1534
first,2022-09-22,164
second,2022-09-23,50
forth,2022-09-20,593
third,2022-09-23,1273
third,2022-09-26,1604
forth,2022-09-27,148
third,2022-09-22,962
last,2022-09-22,869
last,2022-09-20,1247
last,2022-09-27,1339
first,2022-09-18,1019
second,2022-09-26,177
third,2022-09-21,551
third,2022-09-24,1439
second,2022-09-18,1880
third,2022-09-27,1564
first,2022-09-22,255
forth,2022-09-25,833
forth,2022-09-26,140
first,2022-09-19,936
last,2022-09-20,1501
third,2022-09-25,197
last,2022-09-20,466
second,2022-09-22,773
first,2022-09-25,1380
last,2022-09-27,189
forth,2022-09-26,1813
last,2022-09-20,1439
second,2022-09-24,1913
last,2022-09-23,862
forth,2022-09-21,808
first,2022-09-23,149
third,2022-09-23,1303
first,2022-09-25,1213
forth,2022-09-25,12
forth,2022-09-18,1393
third,2022-09-27,1756
second,2022-09-20,1156
last,2022-09-24,1114
forth,2022-09-26,1896
second,2022-09-21,1291
first,2022-09-27,777
third,2022-09-23,143
second,2022-09-20,710
forth,2022-09-24,481
first,2022-09-25,1334
third,2022-09-26,1813
second,2022-09-24,951
first,2022-09-21,1931
third,2022-09-23,758
third,2022-09-18,398
third,2022-09-21,1397
first,2022-09-27,1822
third,2022-09-26,1758
second,2022-09-20,592
third,2022-09-21,1247
forth,2022-09-24,1697
first,2022-09-18,1496
forth,2022-09-23,33
second,2022-09-21,1877
first,2022-09-20,1836
last,2022-09-19,532
forth,2022-09-21,481
last,2022-09-22,1270
forth,2022-09-24,1550
third,2022-09-21,1857
first,2022-09-22,358
forth,2022-09-18,675
forth,2022-09-19,1726
last,2022-09-21,1861
last,2022-09-19,775
last,2022-09-20,259
first,2022-09-27,1481
third,2022-09-21,1070
second,2022-09-18,1760
forth,2022-09-26,252
last,2022-09-25,1836
third,2022-09-25,1369
third,2022-09-21,653
last,2022-09-27,1483
forth,2022-09-24,1842
first,2022-09-22,1112
forth,2022-09-23,1186
second,2022-09-26,1749
third,2022-09-27,1849
forth,2022-09-22,1135
forth,2022-09-18,1090
first,2022-09-23,581
last,2022-09-27,736
second,2022-09-22,576
last,2022-09-20,508
first,2022-09-24,559
second,2022-09-26,368
first,2022-09-27,923
forth,2022-09-25,1660
first,2022-09-19,1815
second,2022-09-25,1635
second,2022-09-22,1224
forth,2022-09-25,325
first,2022-09-22,1963
forth,2022-09-20,773
third,2022-09-18,945
first,2022-09-20,230
first,2022-09-18,1854
first,2022-09-23,1090
third,2022-09-23,1017
forth,2022-09-19,833
forth,2022-09-25,103
last,2022-09-21,1365
third,2022-09-21,1626
forth,2022-09-18,1061
third,2022-09-18,1654
second,2022-09-21,643
forth,2022-09-21,1152
third,2022-09-23,520
forth,2022-09-18,1372
third,2022-09-23,1651
third,2022-09-18,1538
last,2022-09-18,373
first,2022-09-27,386
last,2022-09-21,1694
last,2022-09-23,570
forth,2022-09-23,967
first,2022-09-25,1221
forth,2022-09-19,863
forth,2022-09-18,1450
forth,2022-09-24,846
second,2022-09-22,998
last,2022-09-21,788
second,2022-09-20,1600
first,2022-09-24,555
third,2022-09-21,585
first,2022-09-22,159
forth,2022-09-21,1840
third,2022-09-20,348
forth,2022-09-20,1097
second,2022-09-21,1372
forth,2022-09-23,1701
third,2022-09-18,283
last,2022-09-20,1361
forth,2022-09-21,1063
third,2022-09-18,1070
last,2022-09-18,840
third,2022-09-24,1103
second,2022-09-23,612
first,2022-09-26,182
first,2022-09-22,1635
third,2022-09-20,411
last,2022-09-23,910
forth,2022-09-18,42
second,2022-09-21,365
forth,2022-09-23,312
second,2022-09-25,126
third,2022-09-19,1964
forth,2022-09-19,210
forth,2022-09-27,886
second,2022-09-27,1495
last,2022-09-21,931
first,2022-09-21,1603
second,2022-09-23,1516
first,2022-09-21,466
first,2022-09-22,183
first,2022-09-26,1356
second,2022-09-24,1849
forth,2022-09-22,1504
second,2022-09-26,287
forth,2022-09-27,1561
first,2022-09-18,1051
forth,2022-09-20,542
forth,2022-09-19,103
forth,2022-09-22,957
first,2022-09-24,635
last,2022-09-18,447
forth,2022-09-22,625
third,2022-09-20,254
forth,2022-09-19,847
forth,2022-09-23,1287
first,2022-09-20,1938
first,2022-09-23,364
first,2022-09-20,874
first,2022-09-18,196
third,2022-09-19,1585
last,2022-09-23,1522
last,2022-09-21,1440
first,2022-09-19,1237
forth,2022-09-22,678
second,2022-09-25,155
third,2022-09-24,1575
third,2022-09-20,451
first,2022-09-19,533
second,2022-09-20,1932
forth,2022-09-27,1546
forth,2022-09-19,1833
second,2022-09-22,1323
third,2022-09-18,814
third,2022-09-22,1302
first,2022-09-23,377
last,2022-09-23,1058
third,2022-09-18,1140
third,2022-09-19,1998
forth,2022-09-27,1612
second,2022-09-20,1866
third,2022-09-22,1726
last,2022-09-24,729
last,2022-09-24,291
forth,2022-09-26,1367
second,2022-09-20,769
second,2022-09-19,1433
forth,2022-09-25,269
second,2022-09-26,794
second,2022-09-24,716
third,2022-09-22,907
first,2022-09-21,1594
first,2022-09-26,1156
second,2022-09-18,684
last,2022-09-27,1225
first,2022-09-26,1245
forth,2022-09-22,249
third,2022-09-25,40
second,2022-09-18,1884
last,2022-09-27,690
last,2022-09-19,1856
forth,2022-09-19,1888
third,2022-09-24,1778
first,2022-09-25,1601
forth,2022-09-23,1959
third,2022-09-23,927
last,2022-09-24,1950
forth,2022-09-18,870
third,2022-09-21,1264
third,2022-09-18,805
forth,2022-09-26,489
forth,2022-09-25,1930
third,2022-09-23,12
first,2022-09-19,219
last,2022-09-27,1844
last,2022-09-19,1699
forth,2022-09-25,840
first,2022-09-18,1515
forth,2022-09-19,2
forth,2022-09-19,1527
first,2022-09-21,529
second,2022-09-21,1441
forth,2022-09-26,340
forth,2022-09-18,1071
last,2022-09-19,881
second,2022-09-26,1668
forth,2022-09-19,1839
first,2022-09-23,625
last,2022-09-19,1126
second,2022-09-26,678
first,2022-09-20,501
third,2022-09-23,1524
last,2022-09-19,606
forth,2022-09-19,1556
last,2022-09-27,796
last,2022-09-22,427
forth,2022-09-25,376
last,2022-09-22,464
first,2022-09-25,1870
last,2022-09-25,1906
first,2022-09-18,1539
second,2022-09-21,1096
forth,2022-09-26,592
third,2022-09-27,477
first,2022-09-24,224
first,2022-09-20,1511
last,2022-09-21,91
second,2022-09-24,1224
first,2022-09-20,880
last,2022-09-23,250
second,2022-09-25,1585
first,2022-09-25,1065
last,2022-09-24,1479
first,2022-09-18,1563
third,2022-09-23,62
forth,2022-09-19,655
first,2022-09-26,846
second,2022-09-18,470
first,2022-09-18,1572
third,2022-09-19,1013
first,2022-09-23,1592
second,2022-09-22,1382
second,2022-09-21,1356
last,2022-09-25,1415
last,2022-09-21,1124
first,2022-09-18,944
first,2022-09-22,1306
second,2022-09-26,891
second,2022-09-19,795
forth,2022-09-27,1187
last,2022-09-21,324
second,2022-09-18,70
last,2022-09-18,1684
third,2022-09-25,1892
forth,2022-09-25,367
forth,2022-09-20,1463
last,2022-09-24,866
forth,2022-09-20,1955
third,2022-09-18,879
third,2022-09-19,1362
third,2022-09-18,1867
second,2022-09-22,1293
third,2022-09-27,946
forth,2022-09-18,360
third,2022-09-21,266
forth,2022-09-24,351
second,2022-09-24,1374
first,2022-09-24,758
forth,2022-09-22,1467
last,2022-09-23,1101
last,2022-09-23,305
last,2022-09-22,641
third,2022-09-20,1888
first,2022-09-24,1405
last,2022-09-22,1809
forth,2022-09-22,1344
last,2022-09-19,155
forth,2022-09-27,1052
second,2022-09-26,1982
second,2022-09-24,1662
second,2022-09-26,1633
second,2022-09-25,628
third,2022-09-26,1143
third,2022-09-27,171
first,2022-09-25,88
forth,2022-09-21,1546
third,2022-09-20,65
third,2022-09-23,846
third,2022-09-20,1026
forth,2022-09-26,634
first,2022-09-26,289
last,2022-09-18,1381
forth,2022-09-27,120
last,2022-09-19,1086
second,2022-09-26,1803
third,2022-09-25,1344
last,2022-09-27,1382
third,2022-09-21,180
second,2022-09-19,1553
last,2022-09-20,266
last,2022-09-26,941
second,2022-09-24,1343
first,2022-09-19,1625
last,2022-09-19,169
third,2022-09-26,1481
second,2022-09-24,1547
forth,2022-09-25,1693
first,2022-09-20,353
forth,2022-09-18,402
last,2022-09-24,152
second,2022-09-20,1359
first,2022-09-25,187
last,2022-09-26,630
third,2022-09-20,568
last,2022-09-24,600
second,2022-09-25,434
last,2022-09-18,1890
second,2022-09-26,83
last,2022-09-27,1807
first,2022-09-25,468
last,2022-09-24,688
forth,2022-09-23,965
last,2022-09-19,1730
last,2022-09-26,219
second,2022-09-27,663
first,2022-09-22,1032
third,2022-09-23,1483
last,2022-09-26,193
third,2022-09-27,245
first,2022-09-25,914
second,2022-09-21,1139
last,2022-09-23,516
forth,2022-09-21,1961
third,2022-09-27,433
second,2022-09-27,1437
last,2022-09-24,874
second,2022-09-25,964
second,2022-09-26,1945
forth,2022-09-27,1446
forth,2022-09-24,756
third,2022-09-22,666
first,2022-09-18,1427
